feature,coefficient,abs_coefficient,train_n_positive,direction
vit_systemicmean_h4,-0.0123222135,0.0123222135,,decreases risk
vit_respiration_h19,0.011969021,0.011969021,,increases risk
vit_sao2_h11,0.011673293,0.011673293,,increases risk
vit_heartrate_h1,0.011631101,0.011631101,,increases risk
vit_heartrate_max_h12,0.011580209,0.011580209,,increases risk
vit_respiration_h12,-0.011567765,0.011567765,,decreases risk
vit_respiration_min_h0,-0.011433371,0.011433371,,decreases risk
vit_respiration_max_h8,-0.011294316,0.011294316,,decreases risk
vit_sao2_min_h1,-0.011047517,0.011047517,,decreases risk
vit_systemicsystolic_h1,-0.010946076,0.010946076,,decreases risk
vit_sao2_h22,0.010936857,0.010936857,,increases risk
vit_heartrate_min_h18,-0.010919019,0.010919019,,decreases risk
lab_BUN_b0,-0.01083459,0.01083459,,decreases risk
vit_sao2_max_h21,0.010714135,0.010714135,,increases risk
vit_sao2_max_h16,0.010545488,0.010545488,,increases risk
lab_creatinine_b1,-0.010493303,0.010493303,,decreases risk
vit_systemicsystolic_h17,-0.010311287,0.010311287,,decreases risk
lab_Hgb_b1,0.010279042,0.010279042,,increases risk
vit_temperature_h14,-0.010180259,0.010180259,,decreases risk
vit_heartrate_h12,0.010061675,0.010061675,,increases risk
vit_sao2_h0,-0.010060021,0.010060021,,decreases risk
vit_sao2_h9,0.010053986,0.010053986,,increases risk
vit_sao2_min_h10,0.010022257,0.010022257,,increases risk
vit_heartrate_max_h18,-0.00996519,0.00996519,,decreases risk
vit_respiration_min_h13,0.009808069,0.009808069,,increases risk
vit_respiration_min_h3,0.009765097,0.009765097,,increases risk
vit_respiration_min_h9,0.009701808,0.009701808,,increases risk
lab_-bands_b2,-0.009574976,0.009574976,,decreases risk
vit_systemicdiastolic_h10,0.009428946,0.009428946,,increases risk
vit_heartrate_min_h8,0.009361922,0.009361922,,increases risk
vit_heartrate_max_h10,-0.009158922,0.009158922,,decreases risk
vit_sao2_h8,-0.009117908,0.009117908,,decreases risk
vit_sao2_h16,-0.009115347,0.009115347,,decreases risk
vit_respiration_max_h10,-0.008926505,0.008926505,,decreases risk
vit_respiration_min_h16,-0.008877205,0.008877205,,decreases risk
